trial_type,trial_index,time_elapsed,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,screen_id,angle,radius,distribution,choice,correct
canvas-keyboard-response,729,4020857,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,627,u,learn,learn_trial,22.1081,72.6057,in,1,1
canvas-keyboard-response,734,4023216,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,763,i,learn,learn_trial,10,50,out,0,1
canvas-keyboard-response,739,4025407,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,593,u,learn,learn_trial,20,70,out,1,0
canvas-keyboard-response,744,4031656,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,4151,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,749,4033993,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,729,i,learn,learn_trial,16.6667,50,out,0,1
canvas-keyboard-response,754,4036433,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,836,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,759,4038624,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,591,i,learn,learn_trial,23.3333,30,out,0,1
canvas-keyboard-response,764,4041081,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,854,i,learn,learn_trial,36.6667,30,out,0,1
canvas-keyboard-response,769,4044616,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1933,u,learn,learn_trial,33.3333,80,out,1,0
canvas-keyboard-response,774,4049401,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,2681,u,learn,learn_trial,25,75,in,1,1
