participant,computer_number,exp_condition,trial_type,set_type,set,difficulty_level,stim_order,stim_1_phy,stim_2_phy,stim_3_phy,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy_shuffled,stim_2_phy_shuffled,stim_3_phy_shuffled,stim_1_psy_shuffled,stim_2_psy_shuffled,stim_3_psy_shuffled,key_correct_1,key_correct_2,key_resp,choice_num,choice_stim_phy,choice_stim_psy,correct,rt,stim_min,stim_max,choice
1,1,centered,filler,trinary,NA,NA,[1 0 2],214,344,361.0,7.259586441660442,17.02235630946234,18.0,344,214,361,17.02235630946234,7.259586441660442,18,k,NA,k,2,214,7.259586441660442,1,3.9347920417785645,17.0223563094623,7.25958644166044,NA
1,1,centered,filler,trinary,NA,NA,[1 0 2],283,401,165.0,12.982958076801571,20.14122284366749,2.0,401,283,165,20.14122284366749,12.982958076801571,2,k,NA,k,2,283,12.982958076801571,1,2.0262069702148438,12.9829580768016,20.1412228436675,NA
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,k,2,273,12.25,1,3.566694736480713,12.25,9.25,s
1,1,centered,attraction,trinary,l-s-ds,easy,[2 1 0],247,301,224.0,10.25,14.25,8.25,224,301,247,8.25,14.25,10.25,l,NA,k,2,301,14.25,0,3.0258214473724365,10.25,8.25,s
1,1,centered,filler,trinary,NA,NA,[2 0 1],321,312,418.0,15.58609528635886,15.020702904439531,21.0,418,321,312,21,15.58609528635886,15.020702904439531,k,NA,k,2,321,15.58609528635886,1,1.5538794994354248,15.0207029044395,21.0,NA
1,1,centered,filler,binary,NA,NA,[0 1],232,171,NA,8.908381653481424,2.6258213486289605,NA,232,171,NA,8.908381653481424,2.6258213486289605,NA,j,NA,j,1,232,8.908381653481424,1,1.2512421607971191,2.62582134862896,8.90838165348142,NA
1,1,centered,attraction,binary,l-s,easy,[1 0],224,273,NA,8.25,12.25,NA,273,224,NA,12.25,8.25,NA,j,NA,k,2,224,8.25,0,2.2070705890655518,12.25,8.25,l
1,1,centered,filler,trinary,NA,NA,[1 2 0],248,448,269.0,10.345305104835688,22.443864309461787,12.0,448,269,248,22.443864309461787,12,10.345305104835688,l,NA,k,2,269,12,0,1.0162131786346436,10.3453051048357,22.4438643094618,NA
1,1,centered,attraction,trinary,l-s-ds,equal_2_jnd,[2 0 1],236,286,214.0,9.25,13.25,7.25,214,236,286,7.25,9.25,13.25,k,l,k,2,236,9.25,1,2.079685688018799,13.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,easy,[0 2 1],247,301,331.0,10.25,14.25,16.25,247,331,301,10.25,16.25,14.25,j,NA,j,1,247,10.25,1,1.5259854793548584,10.25,16.25,s
1,1,centered,attraction,trinary,l-s-dl,equal_2_jnd,[2 0 1],236,286,316.0,9.25,13.25,15.25,316,236,286,15.25,9.25,13.25,k,l,k,2,236,9.25,1,1.027494192123413,13.25,9.25,dl
1,1,centered,attraction,binary,l-s,easy,[0 1],247,301,NA,10.25,14.25,NA,247,301,NA,10.25,14.25,NA,j,NA,j,1,247,10.25,1,2.1258864402770996,10.25,14.25,s
1,1,centered,attraction,binary,l-s,equal_1_jnd,[1 0],247,273,NA,10.25,12.25,NA,273,247,NA,12.25,10.25,NA,j,k,k,2,247,10.25,1,1.425157070159912,10.25,12.25,s
1,1,centered,filler,trinary,NA,NA,[0 2 1],278,289,327.0,12.672850561937024,13.434216311434284,16.0,278,327,289,12.672850561937024,16,13.434216311434284,j,NA,j,1,278,12.672850561937024,1,1.315988540649414,12.672850561937,16.0,NA
1,1,centered,attraction,trinary,l-s-ds,easy,[2 0 1],224,273,203.0,8.25,12.25,6.25,203,224,273,6.25,8.25,12.25,l,NA,j,1,203,6.25,0,1.5947551727294922,12.25,8.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,k,2,247,10.25,1,1.9714207649230957,10.25,13.25,s
1,1,centered,attraction,trinary,l-s-dl,equal_2_jnd,[1 2 0],236,286,316.0,9.25,13.25,15.25,286,316,236,13.25,15.25,9.25,l,j,j,1,286,13.25,1,2.188875198364258,13.25,9.25,s
1,1,centered,attraction,binary,l-s,equal_1_jnd,[0 1],247,273,NA,10.25,12.25,NA,247,273,NA,10.25,12.25,NA,j,k,j,1,247,10.25,1,1.823943853378296,10.25,12.25,s
1,1,centered,attraction,binary,l-s,easy,[0 1],224,273,NA,8.25,12.25,NA,224,273,NA,8.25,12.25,NA,k,NA,j,1,224,8.25,0,1.7806365489959717,12.25,8.25,l
1,1,centered,attraction,binary,l-s,equal_1_jnd,[0 1],247,273,NA,10.25,12.25,NA,247,273,NA,10.25,12.25,NA,j,k,j,1,247,10.25,1,1.4194996356964111,10.25,12.25,s
1,1,centered,attraction,trinary,l-s-dl,difficult,[2 0 1],236,273,301.0,9.25,12.25,14.25,301,236,273,14.25,9.25,12.25,l,NA,k,2,236,9.25,0,1.556107521057129,12.25,9.25,dl
1,1,centered,attraction,binary,l-s,easy,[0 1],247,301,NA,10.25,14.25,NA,247,301,NA,10.25,14.25,NA,j,NA,k,2,301,14.25,0,3.865896701812744,10.25,14.25,l
1,1,centered,attraction,binary,l-s,easy,[1 0],224,273,NA,8.25,12.25,NA,273,224,NA,12.25,8.25,NA,j,NA,k,2,224,8.25,0,2.075857400894165,12.25,8.25,l
1,1,centered,attraction,trinary,l-s-ds,equal_1_jnd,[1 2 0],247,273,224.0,10.25,12.25,8.25,273,224,247,12.25,8.25,10.25,l,j,k,2,224,8.25,0,5.55005955696106,10.25,8.25,l
1,1,centered,filler,binary,NA,NA,[1 0],267,201,NA,11.845278196649002,6.012441776110791,NA,201,267,NA,6.012441776110791,11.845278196649002,NA,k,NA,j,1,201,6.012441776110791,0,4.61522650718689,11.845278196649,6.01244177611079,NA
1,1,centered,attraction,trinary,l-s-dl,easy,[1 0 2],224,273,301.0,8.25,12.25,14.25,273,224,301,12.25,8.25,14.25,j,NA,j,1,273,12.25,1,4.531480073928833,12.25,8.25,s
1,1,centered,attraction,binary,l-s,easy,[1 0],224,273,NA,8.25,12.25,NA,273,224,NA,12.25,8.25,NA,j,NA,j,1,273,12.25,1,1.2132632732391357,12.25,8.25,s
1,1,centered,attraction,trinary,l-s-ds,easy,[1 0 2],247,301,224.0,10.25,14.25,8.25,301,247,224,14.25,10.25,8.25,k,NA,k,2,247,10.25,1,0.9538211822509766,10.25,8.25,ds
1,1,centered,attraction,binary,l-s,difficult,[1 0],236,273,NA,9.25,12.25,NA,273,236,NA,12.25,9.25,NA,j,NA,k,2,236,9.25,0,1.3270435333251953,12.25,9.25,l
1,1,centered,attraction,binary,l-s,easy,[1 0],247,301,NA,10.25,14.25,NA,301,247,NA,14.25,10.25,NA,k,NA,k,2,247,10.25,1,1.3856146335601807,10.25,14.25,s
1,1,centered,filler,binary,NA,NA,[1 0],248,246,NA,10.30760504079765,10.114881485933438,NA,246,248,NA,10.114881485933438,10.30760504079765,NA,k,NA,j,1,246,10.114881485933438,0,1.3066136837005615,10.1148814859334,10.3076050407977,NA
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,2.7170302867889404,12.25,9.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[1 0],236,286,NA,9.25,13.25,NA,286,236,NA,13.25,9.25,NA,j,k,k,2,236,9.25,1,4.7340240478515625,13.25,9.25,l
1,1,centered,filler,binary,NA,NA,[1 0],244,284,NA,9.965048890455945,13.076051014359107,NA,284,244,NA,13.076051014359107,9.965048890455945,NA,k,NA,j,1,284,13.076051014359107,0,1.6223185062408447,13.0760510143591,9.96504889045594,NA
1,1,centered,attraction,binary,l-s,equal_1_jnd,[1 0],247,273,NA,10.25,12.25,NA,273,247,NA,12.25,10.25,NA,j,k,j,1,273,12.25,1,1.4358069896697998,10.25,12.25,l
1,1,centered,filler,trinary,NA,NA,[1 2 0],271,200,191.0,12.140217947418758,5.942907377611846,5.0,200,191,271,5.942907377611846,5,12.140217947418758,l,NA,j,1,200,5.942907377611846,0,1.2285759449005127,12.1402179474188,5.94290737761185,NA
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,j,1,286,13.25,0,1.6426963806152344,10.25,13.25,l
1,1,centered,attraction,binary,l-s,difficult,[1 0],236,273,NA,9.25,12.25,NA,273,236,NA,12.25,9.25,NA,j,NA,k,2,236,9.25,0,1.2456109523773193,12.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,equal_2_jnd,[0 1 2],236,286,316.0,9.25,13.25,15.25,236,286,316,9.25,13.25,15.25,j,k,j,1,236,9.25,1,3.8491601943969727,13.25,9.25,dl
1,1,centered,filler,binary,NA,NA,[0 1],283,301,NA,13.01668875599818,14.257775298901834,NA,283,301,NA,13.01668875599818,14.257775298901834,NA,j,NA,j,1,283,13.01668875599818,1,2.1761128902435303,13.0166887559982,14.2577752989018,NA
1,1,centered,attraction,trinary,l-s-dl,difficult,[2 1 0],236,273,301.0,9.25,12.25,14.25,301,273,236,14.25,12.25,9.25,k,NA,k,2,273,12.25,1,4.260368585586548,12.25,9.25,s
1,1,centered,attraction,trinary,l-s-ds,easy,[2 0 1],224,273,203.0,8.25,12.25,6.25,203,224,273,6.25,8.25,12.25,l,NA,j,1,203,6.25,0,2.144092082977295,12.25,8.25,s
1,1,centered,attraction,binary,l-s,equal_1_jnd,[0 1],247,273,NA,10.25,12.25,NA,247,273,NA,10.25,12.25,NA,j,k,j,1,247,10.25,1,1.83467698097229,10.25,12.25,s
1,1,centered,filler,binary,NA,NA,[1 0],205,267,NA,6.451501718212173,11.784537424100565,NA,267,205,NA,11.784537424100565,6.451501718212173,NA,k,NA,k,2,205,6.451501718212173,1,2.254751443862915,11.7845374241006,6.45150171821217,NA
1,1,centered,attraction,trinary,l-s-ds,equal_2_jnd,[2 1 0],236,286,214.0,9.25,13.25,7.25,214,286,236,7.25,13.25,9.25,l,k,j,1,214,7.25,0,1.237116813659668,13.25,9.25,s
1,1,centered,attraction,trinary,l-s-dl,equal_2_jnd,[0 2 1],236,286,316.0,9.25,13.25,15.25,236,316,286,9.25,15.25,13.25,j,l,j,1,236,9.25,1,3.736264944076538,13.25,9.25,dl
1,1,centered,attraction,binary,l-s,easy,[1 0],247,301,NA,10.25,14.25,NA,301,247,NA,14.25,10.25,NA,k,NA,k,2,247,10.25,1,2.5425548553466797,10.25,14.25,s
1,1,centered,attraction,binary,l-s,equal_2_jnd,[1 0],236,286,NA,9.25,13.25,NA,286,236,NA,13.25,9.25,NA,j,k,k,2,236,9.25,1,0.7776343822479248,13.25,9.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[1 0],236,286,NA,9.25,13.25,NA,286,236,NA,13.25,9.25,NA,j,k,k,2,236,9.25,1,0.7264425754547119,13.25,9.25,l
1,1,centered,filler,binary,NA,NA,[1 0],272,237,NA,12.178297551202068,9.388482722570188,NA,237,272,NA,9.388482722570188,12.178297551202068,NA,k,NA,j,1,237,9.388482722570188,0,0.9154324531555176,12.1782975512021,9.38848272257019,NA
1,1,centered,filler,trinary,NA,NA,[0 1 2],272,185,211.0,12.167162566676303,4.285864474950358,7.0,272,185,211,12.167162566676303,4.285864474950358,7,j,NA,j,1,272,12.167162566676303,1,1.364969253540039,12.1671625666763,7.0,NA
