"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1401","1131780","0.0-16.0-2.96","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","k","transfer","","transfer_feedback","","","","0","b","abc","22","75","19.75","75","28","75","","attraction","trinary","ac","both","","t","d","c","2","","","",""
"","","","","","canvas-keyboard-response","1402","1132094","0.0-16.0-3.96","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1403","1132605","0.0-16.0-0.97","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","ab","27","83","18","104","","","j","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1404","1133908","0.0-16.0-1.97","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","840","","j","transfer","","transfer_trial","","","","1","a","ab","27","83","18","104","null","null","j","filler_sample","binary","a","","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1405","1134920","0.0-16.0-2.97","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","j","transfer","","transfer_feedback","","","","1","a","ab","27","83","18","104","null","null","","filler_sample","binary","a","","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1406","1135233","0.0-16.0-3.97","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1407","1135742","0.0-16.0-0.98","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","ab","25","66","28","75","","","jk","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1408","1138388","0.0-16.0-1.98","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","2179","","k","transfer","","transfer_trial","","","","1","b","ab","25","66","28","75","null","null","jk","attraction","binary","ab","both","90","t","c","","3","","","",""
"","","","","","canvas-keyboard-response","1409","1138901","0.0-16.0-2.98","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","k","transfer","","transfer_feedback","","","","1","b","ab","25","66","28","75","null","null","","attraction","binary","ab","both","","t","c","","3","","","",""
"","","","","","canvas-keyboard-response","1410","1139216","0.0-16.0-3.98","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1411","1139723","0.0-16.0-0.99","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","acb","23","72","25","76","16","67","j","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1412","1141014","0.0-16.0-1.99","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","828","","j","transfer","","transfer_trial","","","","1","a","acb","23","72","25","76","16","67","j","filler_sample","trinary","a","","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1413","1142029","0.0-16.0-2.99","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","j","transfer","","transfer_feedback","","","","1","a","acb","23","72","25","76","16","67","","filler_sample","trinary","a","","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1414","1142343","0.0-16.0-3.99","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1415","1142855","0.0-16.0-0.100","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","bca","25","84","25","90.75","25","66","kl","","","","","","","","","","","","",""
