"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1547","1057947","0.0-16.0-0.133","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","cab","22","75","19.75","75","28","75","jk","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1548","1058860","0.0-16.0-1.133","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","446","","j","transfer","","transfer_trial","","","","c","1","cab","22","75","19.75","75","28","75","jk","attraction","trinary","ac","both","t","d","c","2","","","",""
"","","","","","canvas-keyboard-response","1549","1059371","0.0-16.0-2.133","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","c","1","cab","22","75","19.75","75","28","75","","attraction","trinary","ac","both","t","d","c","2","","","",""
"","","","","","canvas-keyboard-response","1550","1059684","0.0-16.0-3.133","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1551","1060196","0.0-16.0-0.134","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","bac","25","84","25","90.75","25","66","kl","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1552","1061029","0.0-16.0-1.134","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","365","","j","transfer","","transfer_trial","","","","b","0","bac","25","84","25","90.75","25","66","kl","attraction","trinary","ac","both","t","d","c","3","","","",""
"","","","","","canvas-keyboard-response","1553","1061541","0.0-16.0-2.134","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","b","0","bac","25","84","25","90.75","25","66","","attraction","trinary","ac","both","t","d","c","3","","","",""
"","","","","","canvas-keyboard-response","1554","1061857","0.0-16.0-3.134","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1555","1062367","0.0-16.0-0.135","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","ba","22","75","25","84","","","jk","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1556","1063124","0.0-16.0-1.135","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","292","","j","transfer","","transfer_trial","","","","b","1","ba","22","75","25","84","null","null","jk","attraction","binary","ab","both","t","c","","2","","","",""
"","","","","","canvas-keyboard-response","1557","1063637","0.0-16.0-2.135","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","b","1","ba","22","75","25","84","null","null","","attraction","binary","ab","both","t","c","","2","","","",""
"","","","","","canvas-keyboard-response","1558","1063950","0.0-16.0-3.135","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
