"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","71","230792","0.0-13.0-3.11","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","72","230850","0.0-13.0-4.11","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","73","231358","0.0-13.0-0.12","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","74","231867","0.0-13.0-1.12","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","75","232669","0.0-13.0-2.12","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","793","","i","learn","","learn_trial","33.3333","30","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","76","233178","0.0-13.0-3.12","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","33.3333","30","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","77","233236","0.0-13.0-4.12","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","78","233744","0.0-13.0-0.13","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","79","234255","0.0-13.0-1.13","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","80","235044","0.0-13.0-2.13","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","781","","u","learn","","learn_trial","33.3333","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","81","236054","0.0-13.0-3.13","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","33.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","82","236112","0.0-13.0-4.13","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","83","236620","0.0-13.0-0.14","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","84","237129","0.0-13.0-1.14","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","85","238148","0.0-13.0-2.14","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","1011","","u","learn","","learn_trial","33.3333","80","out","1","0","","","","","","","","","","","","","","","","","","","","",""
