date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,101,learn,52,427.3794,out,21.46,i,NO,TRUE,944
20210928,101,learn,53,431.9916,out,21.68,i,NO,TRUE,806
20210928,101,learn,54,254.3077,in,10.82,u,YES,TRUE,746
20210928,101,learn,55,402.0934,out,20.21,i,NO,TRUE,736
20210928,101,learn,56,315.0507,in,15.21,u,YES,TRUE,1766
20210928,101,learn,57,160.4473,out,1.38,i,NO,TRUE,662
20210928,101,learn,58,157.3464,out,0.98,i,NO,TRUE,602
20210928,101,learn,59,338.1466,out,16.66,u,YES,FALSE,1290
20210928,101,learn,60,275.2239,in,12.44,i,NO,FALSE,1098
20210928,101,learn,61,169.8728,out,2.55,i,NO,TRUE,660
20210928,101,learn,62,251.8382,in,10.62,u,YES,TRUE,900
20210928,101,learn,63,189.3983,in,4.78,u,YES,TRUE,742
20210928,101,learn,64,261.6069,in,11.4,u,YES,TRUE,790
20210928,101,learn,65,155.8185,out,0.78,i,NO,TRUE,452
20210928,101,learn,66,286.1789,in,13.24,u,YES,TRUE,1978
20210928,101,learn,67,297.2797,in,14.02,i,NO,FALSE,718
20210928,101,learn,68,309.2634,out,14.83,i,NO,TRUE,568
20210928,101,learn,69,189.1213,out,4.75,i,NO,TRUE,2238
20210928,101,learn,70,240.0801,out,9.64,u,YES,FALSE,786
20210928,101,learn,71,150.8808,out,0.12,i,NO,TRUE,648
20210928,101,learn,72,301.663,in,14.32,u,YES,TRUE,1002
20210928,101,learn,73,338.8071,out,16.7,i,NO,TRUE,1036
20210928,101,learn,74,351.4346,in,17.45,i,NO,FALSE,584
20210928,101,learn,75,257.4286,out,11.07,u,YES,FALSE,964
20210928,101,learn,76,324.5682,in,15.82,u,YES,TRUE,1378
20210928,101,learn,77,380.8964,out,19.1,i,NO,TRUE,1178
20210928,101,learn,78,292.6743,out,13.7,u,YES,FALSE,766
20210928,101,learn,79,235.4401,in,9.24,u,YES,TRUE,566
20210928,101,learn,80,242.5526,in,9.85,u,YES,TRUE,940
20210928,101,learn,81,356.0948,in,17.72,u,YES,TRUE,1518
20210928,101,learn,82,319.0728,in,15.47,i,NO,FALSE,430
20210928,101,learn,83,185.4662,out,4.35,i,NO,TRUE,1146
20210928,101,learn,84,228.4247,out,8.62,u,YES,FALSE,622
20210928,101,learn,85,414.0384,out,20.81,i,NO,TRUE,762
20210928,101,learn,86,205.4765,in,6.45,i,NO,FALSE,1184
20210928,101,learn,87,223.5732,in,8.18,u,YES,TRUE,884
20210928,101,learn,88,241.019,in,9.72,u,YES,TRUE,644
20210928,101,learn,89,215.6451,out,7.44,i,NO,TRUE,808
20210928,101,learn,90,354.5346,in,17.63,i,NO,FALSE,996
20210928,101,learn,91,242.6709,in,9.86,u,YES,TRUE,2432
20210928,101,learn,92,316.4372,in,15.3,i,NO,FALSE,1210
20210928,101,learn,93,391.0651,out,19.64,i,NO,TRUE,646
20210928,101,learn,94,258.5615,in,11.16,u,YES,TRUE,592
20210928,101,learn,95,215.1197,in,7.39,u,YES,TRUE,1348
20210928,101,learn,96,425.0919,out,21.35,i,NO,TRUE,624
20210928,101,learn,97,340.7966,out,16.82,u,YES,FALSE,948
20210928,101,learn,98,226.0962,in,8.41,u,YES,TRUE,826
20210928,101,learn,99,193.6971,in,5.24,u,YES,TRUE,780
20210928,101,learn,100,440.9352,out,22.1,i,NO,TRUE,804
20210928,101,learn,101,189.4907,out,4.79,u,YES,FALSE,1260
20210928,101,learn,102,213.0308,in,7.19,u,YES,TRUE,848
20210928,101,learn,103,305.9616,in,14.61,u,YES,TRUE,810
20210928,101,learn,104,302.5474,in,14.38,i,NO,FALSE,740
20210928,101,learn,105,235.555,in,9.25,u,YES,TRUE,644
20210928,101,learn,106,198.8682,in,5.78,u,YES,TRUE,1066
20210928,101,learn,107,381.2683,out,19.12,i,NO,TRUE,904
20210928,101,learn,108,219.6805,in,7.82,u,YES,TRUE,870
20210928,101,learn,109,258.8139,in,11.18,u,YES,TRUE,750
20210928,101,learn,110,196.841,out,5.57,u,YES,FALSE,3326
20210928,101,learn,111,316.5916,out,15.31,u,YES,FALSE,690
20210928,101,learn,112,196.3614,in,5.52,u,YES,TRUE,1536
20210928,101,learn,113,274.8213,out,12.41,u,YES,FALSE,770
20210928,101,learn,114,256.4258,out,10.99,u,YES,FALSE,844
20210928,101,learn,115,273.0837,out,12.28,i,NO,TRUE,1362
20210928,101,learn,116,237.6328,in,9.43,i,NO,FALSE,1340
20210928,101,learn,117,219.1453,in,7.77,u,YES,TRUE,2306
20210928,101,learn,118,306.8586,in,14.67,i,NO,FALSE,2034
20210928,101,learn,119,243.0264,out,9.89,u,YES,FALSE,752
20210928,101,learn,120,278.0583,in,12.65,i,NO,FALSE,1232
20210928,101,learn,121,383.8815,out,19.26,i,NO,TRUE,664
20210928,101,learn,122,269.5099,in,12.01,u,YES,TRUE,710
20210928,101,learn,123,188.2927,out,4.66,i,NO,TRUE,1158
20210928,101,learn,124,217.0172,out,7.57,u,YES,FALSE,828
20210928,101,learn,125,153.0308,out,0.41,i,NO,TRUE,694
